370711 5
370723 3,5
359088 2
372421 4
332067 2
370760 2
357967 3,5
320066 2
370823 3,5
370826 4
370981 2
332475 3
371008 2
359681 2
371015 5
332197 4
372886 2
332201 2
371042 2
371046 2
360976 2
371052 2
359713 4
372263 2
372901 4
372910 3,5
361013 2
371126 3,5
372921 3
332237 2
332708 2
332264 2
359766 2
371150 2
359790 2
371164 4,5
373015 4
373224 3,5
371286 4
371287 3
371289 2
371296 4,5
373268 3,5
332389 2
361231 2
371350 3,5
371303 2
373297 4,5
351756 2
345408 2
320506 4,5
361261 2
373308 2
371570 4,5
371580 5
347219 2
360353 2
371603 2
373344 3
373347 4
371629 2
361237 3,5
371632 4
373363 4
371638 2
371677 2
373387 2
373390 4
371762 2
